Id,Label,type,entity_type,primary_category,mentions,period,language,is_identified,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
76,Cornelius Stribling Snodgrass Sr.,mentioned_only,person,personal_letter,21,all,Spanish,true,26,2,3,0.545455,0.587963,30.233958
101,Ford Bartlett,mentioned_only,person,personal_letter,9,chilean,Spanish,true,26,2,3,0.545455,0.587963,20.808164
42,Jenny,mentioned_only,person,personal_letter,3,european,English,true,9,6,3,0.512456,0.528935,7.5
14,Raúl Vial,mentioned_only,person,personal_letter,6,chilean,Spanish,true,23,2,3,0.539326,0.577546,13.561735
114,Anita Lyon,mentioned_only,person,personal_letter,3,chilean,Spanish,true,16,2,3,0.525547,0.553241,2.263034
7,Eliana Ward,mentioned_only,person,personal_letter,2,chilean,Spanish,true,11,2,3,0.516129,0.53588,0
145,Ernesto Pinto,mentioned_only,person,personal_letter,3,chilean,Spanish,true,16,2,3,0.525547,0.553241,2.263034
142,Lalo Frias,mentioned_only,person,personal_letter,2,chilean,Spanish,true,13,2,3,0.519856,0.542824,7.583333
141,Luisa,mentioned_only,person,personal_letter,2,chilean,Spanish,true,20,2,3,0.533333,0.56713,4.735065
131,Patricio,mentioned_only,person,personal_letter,2,chilean,Spanish,true,11,2,3,0.516129,0.53588,0
78,Raquel,mentioned_only,person,personal_letter,3,chilean,Spanish,true,21,2,3,0.535316,0.570602,5.550624
55,Blaise,mentioned_only,person,personal_letter,3,chilean,Spanish,true,13,2,3,0.519856,0.542824,2.458333
107,Estanislao Echenique Guzmán,mentioned_only,person,personal_letter,5,european,Spanish,true,24,2,3,0.541353,0.581019,42.520069
83,Felipe,mentioned_only,person,personal_letter,2,chilean,Spanish,true,19,2,3,0.531365,0.563657,2.736735
133,Louise,mentioned_only,person,personal_letter,2,chilean,Spanish,true,14,2,3,0.521739,0.546296,0.813636
49,Henderson,mentioned_only,person,personal_letter,2,chilean,Spanish,true,16,2,3,0.525547,0.553241,0.440559
57,William,mentioned_only,person,personal_letter,2,chilean,Spanish,true,15,2,3,0.523636,0.549769,0
106,Henry Young,mentioned_only,person,personal_letter,2,chilean,Spanish,true,15,2,3,0.523636,0.549769,0
89,Jaeger,mentioned_only,person,personal_letter,2,chilean,Spanish,true,15,2,3,0.523636,0.549769,0
52,Yaya,mentioned_only,person,personal_letter,2,chilean,Spanish,true,15,2,3,0.523636,0.549769,0
113,Baburizza & Company LTD,direct_correspondent,organization,institutional_letter,5,european,English,true,5,4,3,0.505263,0.515046,1.5
28,Franica Abovic,mentioned_only,person,personal_letter,5,european,Spanish,true,11,4,3,0.516129,0.53588,14.666667
72,Miguel Abovic,mentioned_only,person,institutional_letter,2,european,English,true,4,4,3,0.503497,0.511574,0
38,John Grisar,direct_correspondent,person,institutional_letter,2,european,German,true,1,4,3,0.49827,0.501157,0
29,Alfonso,mentioned_only,person,personal_letter,2,european,Spanish,true,3,3,3,0.503497,0.509259,0
125,Antonio,mentioned_only,person,personal_letter,2,european,Spanish,true,3,3,3,0.503497,0.509259,0
35,Jorge Hübner Gallo,direct_correspondent,person,personal_letter,4,european,Spanish,true,5,3,3,0.507042,0.516204,73
146,Unknown_S62,direct_correspondent,person,personal_letter,0,european,Spanish,true,1,4,3,0.49827,0.501157,0
69,Unknown_S63,direct_correspondent,person,institutional_letter,0,european,German,true,1,4,3,0.49827,0.501157,0
34,Rolf Altenburger,direct_correspondent,person,personal_letter,20,all,German,true,30,4,3,0.555985,0.603009,128.640476
41,Alexander Popp,direct_correspondent,person,personal_letter,6,european,German,true,17,4,3,0.529412,0.55787,16.5
79,Bubi Laub,mentioned_only,person,personal_letter,5,all,German,true,11,4,3,0.517986,0.537037,3.35
87,Daisy Burggräfin zu Dohna,mentioned_only,person,personal_letter,12,all,German,true,18,4,3,0.531365,0.561343,31.040476
12,Miss Bodenhausen,mentioned_only,person,personal_letter,2,european,German,true,9,4,3,0.514286,0.530093,0
77,Norkauer,mentioned_only,person,personal_letter,4,european,German,true,18,4,3,0.531365,0.561343,14.857143
37,Wilhelm Gustloff,mentioned_only,person,personal_letter,3,european,German,true,13,4,3,0.521739,0.543981,2.107143
4,Spengemann,mentioned_only,person,personal_letter,3,european,German,true,5,4,3,0.505263,0.515046,0
31,John G. Dijkstra,direct_correspondent,person,personal_letter,5,all,English,true,10,4,3,0.514286,0.532407,4.783333
