Source,Target,Type,Id,Label,Weight,via_ego,edge_type
83,89,Undirected,1586,,2,false,enriched
83,141,Undirected,1587,,2,false,enriched
83,78,Undirected,1588,,2,false,enriched
83,57,Undirected,1589,,2,false,enriched
83,52,Undirected,1590,,2,false,enriched
101,106,Undirected,1591,,2,false,enriched
101,89,Undirected,1592,,2,false,enriched
101,57,Undirected,1593,,2,false,enriched
101,52,Undirected,1594,,2,false,enriched
49,106,Undirected,1595,,2,false,enriched
49,89,Undirected,1596,,2,false,enriched
49,141,Undirected,1597,,2,false,enriched
49,14,Undirected,1598,,2,false,enriched
49,57,Undirected,1599,,2,false,enriched
49,52,Undirected,1600,,2,false,enriched
106,89,Undirected,1601,,2,false,enriched
106,1,Undirected,1602,,2,false,enriched
106,141,Undirected,1603,,2,false,enriched
106,78,Undirected,1604,,2,false,enriched
106,14,Undirected,1605,,2,false,enriched
106,57,Undirected,1606,,2,false,enriched
106,52,Undirected,1607,,2,false,enriched
89,1,Undirected,1608,,2,false,enriched
89,141,Undirected,1609,,2,false,enriched
89,78,Undirected,1610,,2,false,enriched
89,14,Undirected,1611,,2,false,enriched
89,57,Undirected,1612,,2,false,enriched
89,52,Undirected,1613,,2,false,enriched
1,52,Undirected,1614,,2,false,enriched
141,14,Undirected,1615,,2,false,enriched
141,57,Undirected,1616,,2,false,enriched
141,52,Undirected,1617,,2,false,enriched
78,14,Undirected,1618,,2,false,enriched
78,57,Undirected,1619,,2,false,enriched
78,52,Undirected,1620,,2,false,enriched
14,57,Undirected,1621,,2,false,enriched
14,52,Undirected,1622,,2,false,enriched
57,52,Undirected,1623,,2,false,enriched
113,1,Undirected,1624,,8,false,epistolary
93,113,Undirected,1625,,2,false,enriched
93,28,Undirected,1626,,2,false,enriched
93,72,Undirected,1627,,2,false,enriched
113,28,Undirected,1628,,2,false,enriched
113,72,Undirected,1629,,2,false,enriched
28,1,Undirected,1630,,6,false,enriched
28,72,Undirected,1631,,2,false,enriched
1,72,Undirected,1632,,2,false,enriched
38,1,Undirected,1633,,6,false,epistolary
29,125,Undirected,1634,,4,false,enriched
29,35,Undirected,1635,,4,false,enriched
29,1,Undirected,1636,,4,false,enriched
125,35,Undirected,1637,,4,false,enriched
125,1,Undirected,1638,,4,false,enriched
35,1,Undirected,1639,,10,false,epistolary
1,146,Undirected,1640,,2,false,epistolary
1,69,Undirected,1641,,2,false,epistolary
82,34,Undirected,1642,,6,false,enriched
136,34,Undirected,1643,,2,false,enriched
1,34,Undirected,1644,,40,false,epistolary
41,79,Undirected,1645,,2,false,enriched
41,87,Undirected,1646,,2,false,enriched
41,127,Undirected,1647,,2,false,enriched
41,1,Undirected,1648,,6,false,epistolary
41,12,Undirected,1649,,2,false,enriched
41,77,Undirected,1650,,4,false,enriched
41,149,Undirected,1651,,6,false,enriched
41,34,Undirected,1652,,2,false,enriched
41,37,Undirected,1653,,2,false,enriched
79,87,Undirected,1654,,4,false,enriched
79,127,Undirected,1655,,2,false,enriched
79,1,Undirected,1656,,4,false,enriched
79,12,Undirected,1657,,2,false,enriched
79,77,Undirected,1658,,2,false,enriched
79,149,Undirected,1659,,2,false,enriched
79,34,Undirected,1660,,4,false,enriched
79,37,Undirected,1661,,2,false,enriched
87,127,Undirected,1662,,2,false,enriched
87,1,Undirected,1663,,12,false,enriched
87,12,Undirected,1664,,2,false,enriched
87,77,Undirected,1665,,4,false,enriched
87,149,Undirected,1666,,4,false,enriched
87,34,Undirected,1667,,6,false,enriched
87,37,Undirected,1668,,4,false,enriched
127,12,Undirected,1669,,2,false,enriched
127,77,Undirected,1670,,2,false,enriched
127,149,Undirected,1671,,2,false,enriched
127,34,Undirected,1672,,2,false,enriched
127,37,Undirected,1673,,2,false,enriched
1,12,Undirected,1674,,2,false,enriched
1,77,Undirected,1675,,6,false,enriched
1,37,Undirected,1676,,4,false,enriched
12,77,Undirected,1677,,2,false,enriched
12,149,Undirected,1678,,2,false,enriched
12,34,Undirected,1679,,2,false,enriched
12,37,Undirected,1680,,2,false,enriched
77,149,Undirected,1681,,6,false,enriched
77,34,Undirected,1682,,4,false,enriched
77,37,Undirected,1683,,4,false,enriched
149,34,Undirected,1684,,6,false,enriched
149,37,Undirected,1685,,4,false,enriched
34,37,Undirected,1686,,4,false,enriched
1,4,Undirected,1687,,4,false,enriched
34,4,Undirected,1688,,4,false,enriched
31,1,Undirected,1689,,16,false,epistolary
31,111,Undirected,1690,,4,false,enriched
31,34,Undirected,1691,,12,false,enriched
1,111,Undirected,1692,,8,false,enriched
111,34,Undirected,1693,,8,false,enriched
79,134,Undirected,1694,,2,false,enriched
79,31,Undirected,1695,,2,false,enriched
87,134,Undirected,1696,,2,false,enriched
87,31,Undirected,1697,,2,false,enriched
134,31,Undirected,1698,,2,false,enriched
134,1,Undirected,1699,,2,false,enriched
134,34,Undirected,1700,,2,false,enriched
34,30,Undirected,1701,,6,false,enriched
23,117,Undirected,1702,,2,false,enriched
23,1,Undirected,1703,,4,false,enriched
23,104,Undirected,1704,,4,false,enriched
23,111,Undirected,1705,,4,false,enriched
23,34,Undirected,1706,,4,false,enriched
23,67,Undirected,1707,,2,false,enriched
23,26,Undirected,1708,,4,false,enriched
117,1,Undirected,1709,,6,false,enriched
117,104,Undirected,1710,,2,false,enriched
117,111,Undirected,1711,,4,false,enriched
117,34,Undirected,1712,,6,false,enriched
117,67,Undirected,1713,,4,false,enriched
117,26,Undirected,1714,,2,false,enriched
1,104,Undirected,1715,,4,false,enriched
1,67,Undirected,1716,,4,false,enriched
1,26,Undirected,1717,,4,false,enriched
104,111,Undirected,1718,,4,false,enriched
104,34,Undirected,1719,,4,false,enriched
104,67,Undirected,1720,,2,false,enriched
104,26,Undirected,1721,,4,false,enriched
111,67,Undirected,1722,,4,false,enriched
111,26,Undirected,1723,,4,false,enriched
34,67,Undirected,1724,,4,false,enriched
34,26,Undirected,1725,,4,false,enriched
67,26,Undirected,1726,,2,false,enriched
27,1,Undirected,1727,,6,false,enriched
27,33,Undirected,1728,,2,false,enriched
27,34,Undirected,1729,,6,false,enriched
1,33,Undirected,1730,,2,false,enriched
33,34,Undirected,1731,,2,false,enriched
82,27,Undirected,1732,,4,false,enriched
82,4,Undirected,1733,,2,false,enriched
27,4,Undirected,1734,,2,false,enriched
27,30,Undirected,1735,,2,false,enriched
4,30,Undirected,1736,,2,false,enriched
1,86,Undirected,1737,,4,false,enriched
86,34,Undirected,1738,,4,false,enriched
82,86,Undirected,1739,,2,false,enriched
27,86,Undirected,1740,,2,false,enriched
87,46,Undirected,1741,,2,false,enriched
87,22,Undirected,1742,,2,false,enriched
46,22,Undirected,1743,,2,false,enriched
46,1,Undirected,1744,,2,false,enriched
22,1,Undirected,1745,,2,false,epistolary
41,71,Undirected,1746,,2,true,epistolary
11,5,Undirected,1747,,2,true,epistolary
11,119,Undirected,1748,,2,true,epistolary
5,119,Undirected,1749,,2,true,epistolary
1,8,Undirected,1750,,4,false,enriched
1,10,Undirected,1751,,2,false,epistolary
8,10,Undirected,1752,,2,false,enriched
137,1,Undirected,1753,,4,false,epistolary
137,34,Undirected,1754,,2,false,enriched
41,94,Undirected,1755,,2,false,enriched
41,137,Undirected,1756,,2,false,enriched
41,116,Undirected,1757,,2,false,enriched
41,8,Undirected,1758,,2,false,enriched
41,53,Undirected,1759,,2,false,enriched
94,137,Undirected,1760,,2,false,enriched
94,1,Undirected,1761,,2,false,enriched
94,116,Undirected,1762,,2,false,enriched
94,77,Undirected,1763,,2,false,enriched
94,149,Undirected,1764,,2,false,enriched
94,8,Undirected,1765,,2,false,enriched
94,53,Undirected,1766,,2,false,enriched
137,116,Undirected,1767,,2,false,enriched
137,77,Undirected,1768,,2,false,enriched
137,149,Undirected,1769,,2,false,enriched
137,8,Undirected,1770,,2,false,enriched
137,53,Undirected,1771,,2,false,enriched
1,116,Undirected,1772,,2,false,enriched
1,53,Undirected,1773,,2,false,enriched
116,77,Undirected,1774,,2,false,enriched
116,149,Undirected,1775,,2,false,enriched
116,8,Undirected,1776,,2,false,enriched
116,53,Undirected,1777,,2,false,enriched
77,8,Undirected,1778,,2,false,enriched
77,53,Undirected,1779,,2,false,enriched
149,8,Undirected,1780,,2,false,enriched
149,53,Undirected,1781,,2,false,enriched
8,53,Undirected,1782,,2,false,enriched
59,1,Undirected,1783,,2,false,epistolary
59,30,Undirected,1784,,2,false,enriched
15,123,Undirected,1785,,2,false,enriched
15,42,Undirected,1786,,2,false,enriched
15,109,Undirected,1787,,4,false,enriched
15,1,Undirected,1788,,4,false,epistolary
123,42,Undirected,1789,,2,false,enriched
123,109,Undirected,1790,,2,false,enriched
123,1,Undirected,1791,,2,false,enriched
42,109,Undirected,1792,,2,false,enriched
109,1,Undirected,1793,,4,false,enriched
120,1,Undirected,1794,,8,false,epistolary
120,30,Undirected,1795,,4,false,enriched
58,1,Undirected,1796,,2,false,epistolary
1,144,Undirected,1797,,2,false,epistolary
13,97,Undirected,1798,,4,false,enriched
13,1,Undirected,1799,,4,false,epistolary
97,1,Undirected,1800,,4,false,epistolary
127,43,Undirected,1801,,2,false,enriched
1,43,Undirected,1802,,2,false,epistolary
61,76,Undirected,1804,,2,false,enriched
36,1,Undirected,1805,,6,false,epistolary
107,100,Undirected,1806,,2,false,enriched
107,105,Undirected,1807,,2,false,enriched
107,90,Undirected,1808,,2,false,enriched
107,60,Undirected,1809,,2,false,enriched
107,81,Undirected,1810,,2,false,enriched
1,105,Undirected,1811,,2,false,enriched
1,90,Undirected,1812,,4,false,enriched
1,60,Undirected,1813,,2,false,enriched
100,105,Undirected,1814,,2,false,enriched
100,90,Undirected,1815,,2,false,enriched
100,60,Undirected,1816,,2,false,enriched
100,81,Undirected,1817,,2,false,enriched
105,90,Undirected,1818,,2,false,enriched
105,60,Undirected,1819,,2,false,enriched
105,81,Undirected,1820,,2,false,enriched
90,60,Undirected,1821,,2,false,enriched
90,81,Undirected,1822,,2,false,enriched
60,81,Undirected,1823,,2,false,enriched
74,1,Undirected,1824,,6,false,epistolary
74,30,Undirected,1825,,4,false,enriched
1,47,Undirected,1826,,2,false,enriched
68,90,Undirected,1827,,2,false,enriched
68,47,Undirected,1828,,2,false,enriched
90,47,Undirected,1829,,2,false,enriched
41,120,Undirected,1830,,2,false,enriched
41,30,Undirected,1831,,2,false,enriched
120,149,Undirected,1832,,2,false,enriched
80,20,Undirected,1833,,4,false,enriched
80,139,Undirected,1834,,6,false,enriched
80,148,Undirected,1835,,2,false,enriched
80,1,Undirected,1836,,6,false,enriched
20,139,Undirected,1837,,14,false,enriched
20,148,Undirected,1838,,2,false,enriched
20,1,Undirected,1839,,14,false,enriched
139,148,Undirected,1840,,2,false,enriched
139,1,Undirected,1841,,20,false,epistolary
20,95,Undirected,1842,,6,false,enriched
139,95,Undirected,1843,,6,false,enriched
1,95,Undirected,1844,,6,false,enriched
20,126,Undirected,1845,,4,false,enriched
139,126,Undirected,1846,,4,false,enriched
126,95,Undirected,1847,,2,false,enriched
18,1,Undirected,1848,,2,false,epistolary
18,124,Undirected,1849,,2,false,enriched
1,124,Undirected,1850,,2,false,enriched
1,118,Undirected,1851,,2,false,epistolary
121,35,Undirected,1852,,2,true,epistolary
121,118,Undirected,1853,,2,true,enriched
35,118,Undirected,1854,,2,true,enriched
85,1,Undirected,1855,,2,false,epistolary
85,6,Undirected,1856,,2,false,enriched
1,6,Undirected,1857,,2,false,epistolary
139,71,Undirected,1858,,2,false,enriched
139,44,Undirected,1859,,2,false,enriched
1,71,Undirected,1860,,4,false,epistolary
1,44,Undirected,1861,,2,false,epistolary
71,44,Undirected,1862,,2,false,enriched
113,87,Undirected,1863,,4,false,enriched
117,31,Undirected,1864,,4,false,enriched
117,98,Undirected,1871,,2,false,enriched
98,31,Undirected,1872,,2,false,enriched
98,1,Undirected,1873,,4,false,enriched
98,111,Undirected,1874,,2,false,enriched
98,34,Undirected,1875,,2,false,enriched
98,67,Undirected,1876,,2,false,enriched
31,67,Undirected,1877,,2,false,enriched
1,115,Undirected,1878,,2,false,epistolary
82,28,Undirected,1880,,2,false,enriched
82,36,Undirected,1881,,2,false,enriched
82,20,Undirected,1882,,2,false,enriched
82,139,Undirected,1883,,2,false,enriched
82,68,Undirected,1884,,2,false,enriched
28,36,Undirected,1885,,2,false,enriched
28,20,Undirected,1886,,2,false,enriched
28,139,Undirected,1887,,2,false,enriched
28,68,Undirected,1888,,2,false,enriched
36,20,Undirected,1889,,2,false,enriched
36,139,Undirected,1890,,2,false,enriched
36,68,Undirected,1891,,2,false,enriched
20,68,Undirected,1892,,2,false,enriched
139,68,Undirected,1893,,2,false,enriched
45,1,Undirected,1894,,2,false,epistolary
45,51,Undirected,1895,,2,false,enriched
1,51,Undirected,1896,,2,false,enriched
21,98,Undirected,1897,,2,false,enriched
21,1,Undirected,1898,,2,false,epistolary
9,108,Undirected,1900,,4,false,enriched
9,1,Undirected,1901,,4,false,enriched
9,88,Undirected,1902,,4,false,enriched
9,148,Undirected,1904,,2,false,enriched
108,148,Undirected,1905,,2,false,enriched
148,88,Undirected,1906,,2,false,enriched
102,110,Undirected,1907,,2,false,enriched
102,1,Undirected,1908,,2,false,enriched
110,1,Undirected,1909,,2,false,epistolary
147,1,Undirected,1910,,6,false,epistolary
122,13,Undirected,1914,,2,false,enriched
122,97,Undirected,1915,,2,false,enriched
122,19,Undirected,1916,,2,false,enriched
13,76,Undirected,1917,,2,false,enriched
13,19,Undirected,1918,,2,false,enriched
76,97,Undirected,1919,,2,false,enriched
76,19,Undirected,1920,,2,false,enriched
97,19,Undirected,1921,,2,false,enriched
1,19,Undirected,1922,,2,false,enriched
36,96,Undirected,1923,,2,false,enriched
36,25,Undirected,1924,,2,false,enriched
1,96,Undirected,1925,,2,false,epistolary
1,25,Undirected,1926,,2,false,enriched
96,25,Undirected,1927,,2,false,enriched
103,28,Undirected,1928,,2,false,enriched
103,142,Undirected,1929,,2,false,enriched
28,142,Undirected,1930,,2,false,enriched
1,66,Undirected,1931,,2,false,epistolary
71,66,Undirected,1932,,2,false,enriched
1,84,Undirected,1933,,2,false,epistolary
84,30,Undirected,1934,,2,false,enriched
87,39,Undirected,1935,,2,false,enriched
87,63,Undirected,1936,,2,false,enriched
