Envelope;Filename;placeFrom;placeTo;To;From;Date
S87;MITRO3-S87-DOC-003;Valparaíso, Chile;Weimar, Germany;Luis Mitrovic Balbontín;Friedrich Oetzmann;31-12-1935
S88;MITRO3-S88-DOC-001;Vienna, Austria;Vienna, Austria;None;None;01-01-1935
S89;MITRO3-S89-CARTA-001;Santiago, Chile;Vienna, Austria;Alexander Popp;Luis Mitrovic Puljizević;03-07-1935
S90A;MITRO3-S90-CARTA-002;Santiago, Chile;Vienna, Austria;Emil Hoppe and Otto Schönthal;Miguel Dávila Carson;05-09-1934
S90B;MITRO3-S90-CARTA-003;Weimar;Weimar, Germany;Rectorate;Luis Mitrovic Balbontín;22-06-1936
S91;MITRO3-S91-CARTA-003;Stralsund, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Herbert Fronisius;10-07-1936
S92;MITRO3-S92-CARTA-003;Herrsching Am Ammersee, Munchen, Germany;Kitzbühel, Austria;Luis Mitrovic Balbontín;Herbert Fronisius;15-12-1936
S93;MITRO3-S93-CARTA-003;Vienna, Austria;Kitzbühel, Austria;Luis Mitrovic Balbontín;Helmuth Holzer;23-12-1936
S94;MITRO3-S94-CARTA-003;Boston, Massachusetts, USA;Santiago, Chile;Luis Mitrovic Balbontín;Howard F. Elkus;19-01-2000
S95;MITRO3-S95-CARTA-002;Solothurn, Switzerland;Santiago, Chile;Luis Mitrovic Balbontín;Rolf Altenburger;29-03-1991
S96;MITRO3-S96-CARTA-001;Frankfurt;Santiago, Chile;Luis Mitrovic Balbontín;Franz J. Kranl;18-10-1937
S97;MITRO3-S97-CARTA-002;Kathmandu, Nepal;Boston, Massachusetts, USA;Luis Mitrovic Balbontín;Franz J. Kranl;12-11-1977
S98A;MITRO3-S98-CARTA-002A;Portillo, Chile;Vienna, Austria;Luis Mitrovic Balbontín;Eugenia Bund;07-07-1935
S98B;MITRO3-S98-CARTA-002B;Portillo, Chile;Vienna, Austria;Luis Mitrovic Balbontín;Tomas Hager;07-07-1935
S99;MITRO3-S99-CARTA-002;Isola d'Ischia, Italy;Santiago, Chile;Luis Mitrovic Balbontín;Howard F. Elkus;03-07-1999
S100;MITRO3-S100-CARTA-001;Santiago, Chile;Martinsburg, West Virginia, United States;Strip and Eleonor;Luis Mitrovic Balbontín;05-02-1998
S102;MITRO3-S102-CARTA-002;Old Lyme, Connecticut, USA;Santiago, Chile;Luis Mitrovic Balbontín;Unknown;16-12-1996
S103;MITRO3-S103-CARTA-002;Guatemala;Brookline, Massachusetts, USA;Luis Mitrovic Balbontín;Franz J. Kranl;04-11-1974
S104;MITRO3-S104-CARTA-003;Den Haag, The Netherlands;Santiago, Chile;Luis Mitrovic Balbontín;John G. Dijkstra;21-07-1992
S105;MITRO3-S105-CARTA-001;Kabul, Afganistan;Washington, United States;Angela Gana;Luis Mitrovic Balbontín;22-05-1972
S106;MITRO3-S106-CARTA-001;SS STA LUCIA;Santiago, Chile;Georgia;Luis Mitrovic Balbontín;Unkown
S107;MITRO3-S107-CARTA-002;Santiago, Chile;Weimar, Germany;Luis Mitrovic Balbontín;Matias Astoreca Sartori;13-05-1936
S108;MITRO3-S108-CARTA-001;Buenos Aires, Argentina;Santiago, Chile;Luis Mitrovic Balbontín;Eugen Himmel;30-03-1970
S185;MITRO3-S185-CARTA-003;Berlin, Germany;Santiago, Chile;Luis Mitrovic Balbontín;Eugen Himmel;16-04-1939
S109;MITRO3-S109-CARTA-001;Buenos Aires, Argentina;Santiago, Chile;Luis Mitrovic Balbontín;Eugen Himmel;15-12-1970
S110;MITRO3-S110-CARTA-003;Paris, France;Weimar, Germany;Luis Mitrovic Balbontín;Matias Astoreca Sartori;Unkown
S111;MITRO3-S111-CARTA-002;Vienna, Austria;London, UK;Luis Mitrovic Balbontín;Franz J. Kranl;26-09-1936
S113;MITRO3-S113-CARTA-003;Hamburg, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;14-04-1937
S114;MITRO3-S114-CARTA-003;Jena, Germany;Weimar, Germany;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;22-11-1935
S115;MITRO3-S115-CARTA-003;Jena, Germany;Weimar, Germany;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;24-03-1936
S116;MITRO3-S116-CARTA-003;Jena, Germany;Weimar, Germany;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;04-12-1935
S117;MITRO3-S117-CARTA-003;Jena, Germany;Weimar, Germany;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;25-09-1935
S118;MITRO3-S118-CARTA-003;Jena, Germany;Weimar, Germany;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;24-11-1935
S119;MITRO3-S119-CARTA-003;Jena, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;04-03-1937
S120;MITRO3-S120-CARTA-003;Jena, Germany;Vienna, Austria;Luis Mitrovic Balbontín;Gonzalo Latorre Salamanca;07-03-1937
S121;MITRO3-S121-CARTA-001;Lapad, Yugoslavia;Santiago, Chile;Luis Mitrovic Balbontín;Aunt Elisa;25-02-1940
S122A;MITRO3-S122-CARTA-003;Warsow, Poland;Weimar, Germany;Luis Mitrovic Balbontín;Jorge Hubner Gallo;06-04-1936
S122B;MITRO3-S122-CARTA-006;Warsow, Poland;Weimar, Germany;Luis Mitrovic Balbontín;Ofelia Gallo Schiavetti;06-04-1936
S122C;MITRO3-S122-CARTA-007 ;Santiago, Chile;Warsow, Poland;Jorge Hubner Gallo;G Diaz;06-03-1936
S194;MITRO3-S194-CARTA-002;Congonhas, Brasil;Brookline, Massachusetts, USA;Luis Mitrovic Balbontín;"Juan Echenique Guzmán; Pilola Celis";20-05-1977
S195;MITRO3-S195-CARTA-003;Stockholm, Sweden;Vienna, Austria;Luis Mitrovic Balbontín;Ricardo Ahumada;20-10-1936
S196A;MITRO3-S196-CARTA-004;London, UK;Weimar, Germany;Luis Mitrovic Balbontín;Baburizza & Company LTD;27-11-1935
S196B;MITRO3-S196-CARTA-003;London, UK;Weimar, Germany;Luis Mitrovic Balbontín;Baburizza & Company LTD;18-10-1935
S197;MITRO3-S197-CARTA-003;Den Haag, The Netherlands;Santiago, Chile;Luis Mitrovic Balbontín;John G. Dijkstra;04-05-1992
S198;MITRO3-S198-CARTA-003;Den Haag, The Netherlands;Santiago, Chile;Luis Mitrovic Balbontín;John G. Dijkstra;17-01-1990
S199;MITRO3-S199-CARTA-003;Den Haag, The Netherlands;Santiago, Chile;Luis Mitrovic Balbontín;John G. Dijkstra;27-03-1993
S200;MITRO3-S200-CARTA-003;Den Haag, The Netherlands;Santiago, Chile;Luis Mitrovic Balbontín;John G. Dijkstra;26-01-1991
S202;MITRO3-S202-CARTA-001;Santiago, Chile;Den Haag, The Netherlands;John G. Dijkstra;Luis Mitrovic Balbontín;09-04-1992
S25A;MITRO3-S25-DOC-009;Washington, USA;Boston, Massachusetts, USA;Luis Vera;Luis Mitrovic Balbontín;05-01-1977
S25B;MITRO3-S25-DOC-011;Cambridge, Massachusetts, USA;Boston, Massachusetts, USA;Luis Mitrovic Balbontín;John C. Harkness;09-03-1978
S27;MITRO3-S27-DOC-001;Unknown;Unknown;Georgia Balbontín;Luis Mitrovic Balbontín;Unkown
