Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S89,Luis Mitrovic Puljizević,Alexander Popp,03-07-1935,1935.0,European (1934–1938),#9B59B6,"Santiago, Chile","Vienna, Austria",-33.4489,-70.6693,48.2082,16.3738,1935 · Luis Mitrovic Puljizević → Alexander Popp
S90A,Miguel Dávila Carson,Emil Hoppe and Otto Schönthal,05-09-1934,1934.0,European (1934–1938),#9B59B6,"Santiago, Chile","Vienna, Austria",-33.4489,-70.6693,48.2082,16.3738,1934 · Miguel Dávila Carson → Emil Hoppe and Otto Schönthal
S90B,Luis Mitrovic Balbontín,Rectorate,22-06-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany","Weimar, Germany",50.9795,11.3235,50.9795,11.3235,1936 · Luis Mitrovic Balbontín → Rectorate
S91,Herbert Fronisius,Luis Mitrovic Balbontín,10-07-1936,1936.0,European (1934–1938),#9B59B6,"Stralsund, Germany","Vienna, Austria",54.3093,13.082,48.2082,16.3738,1936 · Herbert Fronisius → Luis Mitrovic Balbontín
S92,Herbert Fronisius,Luis Mitrovic Balbontín,15-12-1936,1936.0,European (1934–1938),#9B59B6,"Herrsching Am Ammersee, Munchen, Germany","Kitzbühel, Austria",47.9968,11.1733,47.4458,12.3925,1936 · Herbert Fronisius → Luis Mitrovic Balbontín
S93,Helmuth Holzer,Luis Mitrovic Balbontín,23-12-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria","Kitzbühel, Austria",48.2082,16.3738,47.4458,12.3925,1936 · Helmuth Holzer → Luis Mitrovic Balbontín
S94,Howard F. Elkus,Luis Mitrovic Balbontín,19-01-2000,2000.0,Chilean (1938–1970 / 1986–2008),#16A085,"Boston, Massachusetts, USA","Santiago, Chile",42.3601,-71.0589,-33.4489,-70.6693,2000 · Howard F. Elkus → Luis Mitrovic Balbontín
S95,Rolf Altenburger,Luis Mitrovic Balbontín,29-03-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Solothurn, Switzerland","Santiago, Chile",47.2088,7.536,-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín
S96,Franz J. Kranl,Luis Mitrovic Balbontín,18-10-1937,1937.0,European (1934–1938),#9B59B6,"Frankfurt, Germany","Santiago, Chile",50.1109,8.6821,-33.4489,-70.6693,1937 · Franz J. Kranl → Luis Mitrovic Balbontín
S97,Franz J. Kranl,Luis Mitrovic Balbontín,12-11-1977,1977.0,United States (1971–1985),#D4AC0D,"Kathmandu, Nepal","Boston, Massachusetts, USA",27.7172,85.324,42.3601,-71.0589,1977 · Franz J. Kranl → Luis Mitrovic Balbontín
S98A,Eugenia Bund,Luis Mitrovic Balbontín,07-07-1935,1935.0,European (1934–1938),#9B59B6,"Portillo, Chile","Vienna, Austria",-32.95,-70.1167,48.2082,16.3738,1935 · Eugenia Bund → Luis Mitrovic Balbontín
S98B,Tomas Hager,Luis Mitrovic Balbontín,07-07-1935,1935.0,European (1934–1938),#9B59B6,"Portillo, Chile","Vienna, Austria",-32.95,-70.1167,48.2082,16.3738,1935 · Tomas Hager → Luis Mitrovic Balbontín
S99,Howard F. Elkus,Luis Mitrovic Balbontín,03-07-1999,1999.0,Chilean (1938–1970 / 1986–2008),#16A085,"Isola d'Ischia, Italy","Santiago, Chile",40.731,13.9,-33.4489,-70.6693,1999 · Howard F. Elkus → Luis Mitrovic Balbontín
S100,Luis Mitrovic Balbontín,Strip and Eleonor,05-02-1998,1998.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Martinsburg, West Virginia, United States",-33.4489,-70.6693,39.4562,-77.9639,1998 · Luis Mitrovic Balbontín → Strip and Eleonor
S102,Unknown,Luis Mitrovic Balbontín,16-12-1996,1996.0,Chilean (1938–1970 / 1986–2008),#16A085,"Old Lyme, Connecticut, USA","Santiago, Chile",41.3154,-72.3357,-33.4489,-70.6693,1996 · Unknown → Luis Mitrovic Balbontín
