Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S195,Ricardo Ahumada,Luis Mitrovic Balbontín,20-10-1936,1936.0,European (1934–1938),#9B59B6,"Stockholm, Sweden","Vienna, Austria",59.3293,18.0686,48.2082,16.3738,1936 · Ricardo Ahumada → Luis Mitrovic Balbontín
S196A,Baburizza & Company LTD,Luis Mitrovic Balbontín,27-11-1935,1935.0,European (1934–1938),#9B59B6,"London, UK","Weimar, Germany",51.5074,-0.1278,50.9795,11.3235,1935 · Baburizza & Company LTD → Luis Mitrovic Balbontín
S196B,Baburizza & Company LTD,Luis Mitrovic Balbontín,18-10-1935,1935.0,European (1934–1938),#9B59B6,"London, UK","Weimar, Germany",51.5074,-0.1278,50.9795,11.3235,1935 · Baburizza & Company LTD → Luis Mitrovic Balbontín
S197,John G. Dijkstra,Luis Mitrovic Balbontín,04-05-1992,1992.0,Chilean (1938–1970 / 1986–2008),#16A085,"Den Haag, The Netherlands","Santiago, Chile",52.0705,4.3007,-33.4489,-70.6693,1992 · John G. Dijkstra → Luis Mitrovic Balbontín
S198,John G. Dijkstra,Luis Mitrovic Balbontín,17-01-1990,1990.0,Chilean (1938–1970 / 1986–2008),#16A085,"Den Haag, The Netherlands","Santiago, Chile",52.0705,4.3007,-33.4489,-70.6693,1990 · John G. Dijkstra → Luis Mitrovic Balbontín
S199,John G. Dijkstra,Luis Mitrovic Balbontín,27-03-1993,1993.0,Chilean (1938–1970 / 1986–2008),#16A085,"Den Haag, The Netherlands","Santiago, Chile",52.0705,4.3007,-33.4489,-70.6693,1993 · John G. Dijkstra → Luis Mitrovic Balbontín
S200,John G. Dijkstra,Luis Mitrovic Balbontín,26-01-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Den Haag, The Netherlands","Santiago, Chile",52.0705,4.3007,-33.4489,-70.6693,1991 · John G. Dijkstra → Luis Mitrovic Balbontín
S202,Luis Mitrovic Balbontín,John G. Dijkstra,09-04-1992,1992.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Den Haag, The Netherlands",-33.4489,-70.6693,52.0705,4.3007,1992 · Luis Mitrovic Balbontín → John G. Dijkstra
S25A,Luis Mitrovic Balbontín,Luis Vera,05-01-1977,1977.0,United States (1971–1985),#D4AC0D,"Washington, USA","Boston, Massachusetts, USA",38.9072,-77.0369,42.3601,-71.0589,1977 · Luis Mitrovic Balbontín → Luis Vera
S25B,John C. Harkness,Luis Mitrovic Balbontín,09-03-1978,1978.0,United States (1971–1985),#D4AC0D,"Cambridge, Massachusetts, USA","Boston, Massachusetts, USA",42.3736,-71.1097,42.3601,-71.0589,1978 · John C. Harkness → Luis Mitrovic Balbontín
S40,Nora,Luis Mitrovic Balbontín,04-12-1969,1969.0,Chilean (1938–1970 / 1986–2008),#16A085,"Moosburg, Austria","Santiago, Chile",48.1167,13.8667,-33.4489,-70.6693,1969 · Nora → Luis Mitrovic Balbontín
S41,Nora,Luis Mitrovic Balbontín,18-12-1968,1968.0,Chilean (1938–1970 / 1986–2008),#16A085,"Moosburg, Austria","Santiago, Chile",48.1167,13.8667,-33.4489,-70.6693,1968 · Nora → Luis Mitrovic Balbontín
S43,Rolf Altenburger,Luis Mitrovic Balbontín,30-06-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Solothurn, Switzerland","Santiago, Chile",47.2088,7.536,-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín
S44,Fernando Migliassi,Luis Mitrovic Balbontín,30-07-2006,2006.0,Chilean (1938–1970 / 1986–2008),#16A085,"Arlington, Massachusetts, USA","Santiago, Chile",42.4154,-71.1565,-33.4489,-70.6693,2006 · Fernando Migliassi → Luis Mitrovic Balbontín
S46A,Club Alemán de Excursionismo,Luis Mitrovic Balbontín,27-09-1934,1934.0,European (1934–1938),#9B59B6,"Santiago, Chile","Vienna, Austria",-33.4489,-70.6693,48.2082,16.3738,1934 · Club Alemán de Excursionismo → Luis Mitrovic Balbontín
S46B,Luis Mitrovic Balbontín,Club Alemán de Excursionismo,27-09-1934,1934.0,European (1934–1938),#9B59B6,"Santiago, Chile","Vienna, Austria",-33.4489,-70.6693,48.2082,16.3738,1934 · Luis Mitrovic Balbontín → Club Alemán de Excursionismo
S47,Club Alemán de Excursionismo,Luis Mitrovic Balbontín,27-01-1935,1935.0,European (1934–1938),#9B59B6,"Santiago, Chile","Vienna, Austria",-33.4489,-70.6693,48.2082,16.3738,1935 · Club Alemán de Excursionismo → Luis Mitrovic Balbontín
S50,Luis Mitrovic Balbontín,Strip and Eleonor,01-01-2000,2000.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Martinsburg, West Virginia, United States",-33.4489,-70.6693,39.4562,-77.9639,2000 · Luis Mitrovic Balbontín → Strip and Eleonor
S53,Ximena,Luis Mitrovic Balbontín,01-01-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Santiago, Chile",-33.4489,-70.6693,-33.4489,-70.6693,1942 · Ximena → Luis Mitrovic Balbontín
S55,Cucho Errázuriz,Luis Mitrovic Balbontín,06-03-1941,1941.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Santiago, Chile",-33.4489,-70.6693,-33.4489,-70.6693,1941 · Cucho Errázuriz → Luis Mitrovic Balbontín
S56,Thomas H. Wesley,Luis Mitrovic Balbontín,15-04-1953,1953.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile","Santiago, Chile",-33.4489,-70.6693,-33.4489,-70.6693,1953 · Thomas H. Wesley → Luis Mitrovic Balbontín
S58,Jorge Hubner Gallo,Luis Mitrovic Balbontín,18-08-1935,1935.0,European (1934–1938),#9B59B6,"Zoppot, Poland","Dubrovnik, Croatia",54.4414,18.5601,42.6507,18.0944,1935 · Jorge Hubner Gallo → Luis Mitrovic Balbontín
S64A,Jorge Hubner Gallo,Luis Mitrovic Balbontín,17-01-1936,1936.0,European (1934–1938),#9B59B6,"Warsow, Poland","Weimar, Germany",52.2297,21.0122,50.9795,11.3235,1936 · Jorge Hubner Gallo → Luis Mitrovic Balbontín
S64B,Jorge Hubner Bezanilla,Luis Mitrovic Balbontín,17-01-1936,1936.0,European (1934–1938),#9B59B6,"Warsow, Poland","Weimar, Germany",52.2297,21.0122,50.9795,11.3235,1936 · Jorge Hubner Bezanilla → Luis Mitrovic Balbontín
S65,Unknown,Luis Mitrovic Balbontín,01-05-1969,1969.0,Chilean (1938–1970 / 1986–2008),#16A085,"Mollens, Switzerland","Santiago, Chile",46.35,7.5833,-33.4489,-70.6693,1969 · Unknown → Luis Mitrovic Balbontín
S67,Rolf Altenburger,Luis Mitrovic Balbontín,15-12-1936,1936.0,European (1934–1938),#9B59B6,"Wuppertal, Germany","Vienna, Austria",51.2562,7.1508,48.2082,16.3738,1936 · Rolf Altenburger → Luis Mitrovic Balbontín
