Envelope,From,To,Date,year,period_label,period_color,mitrovic_place,mitrovic_lat,mitrovic_lon,tooltip,carta_count
S61,Jorge Hubner Gallo,Luis Mitrovic Balbontín,08-01-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Jorge Hubner Gallo → Luis Mitrovic Balbontín,21
S62,Unknown,Luis Mitrovic,30-11-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Unknown → Luis Mitrovic,21
S63,Unknown,Luis Mitrovic Balbontín,07-12-1934,1934.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1934 · Unknown → Luis Mitrovic Balbontín,21
S68,Rolf Altenburger,Luis Mitrovic Balbontín,09-06-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Rolf Altenburger → Luis Mitrovic Balbontín,21
S72,Rolf Altenburger,Luis Mitrovic Balbontín,07-11-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1936 · Rolf Altenburger → Luis Mitrovic Balbontín,21
S73,Rolf Altenburger,Luis Mitrovic Balbontín,29-07-1936,1936.0,European (1934–1938),#9B59B6,"Porto, Portugal",41.1579,-8.6291,1936 · Rolf Altenburger → Luis Mitrovic Balbontín,1
S76,Rolf Altenburger,Luis Mitrovic Balbontín,02-11-1989,1989.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1989 · Rolf Altenburger → Luis Mitrovic Balbontín,64
S77,Rolf Altenburger,Luis Mitrovic Balbontín,01-10-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín,64
S78,Rolf Altenburger,Luis Mitrovic Balbontín,11-07-1937,1937.0,European (1934–1938),#9B59B6,"Antwerp, Belgium",51.2194,4.4025,1937 · Rolf Altenburger → Luis Mitrovic Balbontín,2
S79,Rolf Altenburger,Luis Mitrovic Balbontín,30-06-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín,64
S80,Rolf Altenburger,Luis Mitrovic Balbontín,18-03-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Rolf Altenburger → Luis Mitrovic Balbontín,21
S81,Rolf Altenburger,Luis Mitrovic Balbontín,07-09-1936,1936.0,European (1934–1938),#9B59B6,"London, UK",51.5074,-0.1278,1936 · Rolf Altenburger → Luis Mitrovic Balbontín,2
S82,Rolf Altenburger,Luis Mitrovic Balbontín,01-01-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Rolf Altenburger → Luis Mitrovic Balbontín,21
S83,Rolf Altenburger,Luis Mitrovic Balbontín,20-03-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Rolf Altenburger → Luis Mitrovic Balbontín,21
S84,Rolf Altenburger,Luis Mitrovic Balbontín,26-01-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Rolf Altenburger → Luis Mitrovic Balbontín,21
S87,Friedrich Oetzmann,Luis Mitrovic Balbontín,31-12-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Friedrich Oetzmann → Luis Mitrovic Balbontín,21
S90B,Luis Mitrovic Balbontín,Rectorate,22-06-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Luis Mitrovic Balbontín → Rectorate,21
S91,Herbert Fronisius,Luis Mitrovic Balbontín,10-07-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1936 · Herbert Fronisius → Luis Mitrovic Balbontín,21
S92,Herbert Fronisius,Luis Mitrovic Balbontín,15-12-1936,1936.0,European (1934–1938),#9B59B6,"Kitzbühel, Austria",47.4458,12.3925,1936 · Herbert Fronisius → Luis Mitrovic Balbontín,3
S93,Helmuth Holzer,Luis Mitrovic Balbontín,23-12-1936,1936.0,European (1934–1938),#9B59B6,"Kitzbühel, Austria",47.4458,12.3925,1936 · Helmuth Holzer → Luis Mitrovic Balbontín,3
S94,Howard F. Elkus,Luis Mitrovic Balbontín,19-01-2000,2000.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,2000 · Howard F. Elkus → Luis Mitrovic Balbontín,64
S95,Rolf Altenburger,Luis Mitrovic Balbontín,29-03-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín,64
S96,Franz J. Kranl,Luis Mitrovic Balbontín,18-10-1937,1937.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1937 · Franz J. Kranl → Luis Mitrovic Balbontín,64
S97,Franz J. Kranl,Luis Mitrovic Balbontín,12-11-1977,1977.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1977 · Franz J. Kranl → Luis Mitrovic Balbontín,5
S98A,Eugenia Bund,Luis Mitrovic Balbontín,07-07-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1935 · Eugenia Bund → Luis Mitrovic Balbontín,21
S98B,Tomas Hager,Luis Mitrovic Balbontín,07-07-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1935 · Tomas Hager → Luis Mitrovic Balbontín,21
S99,Howard F. Elkus,Luis Mitrovic Balbontín,03-07-1999,1999.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1999 · Howard F. Elkus → Luis Mitrovic Balbontín,64
S100,Luis Mitrovic Balbontín,Strip and Eleonor,05-02-1998,1998.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1998 · Luis Mitrovic Balbontín → Strip and Eleonor,64
S102,Unknown,Luis Mitrovic Balbontín,16-12-1996,1996.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1996 · Unknown → Luis Mitrovic Balbontín,64
S103,Franz J. Kranl,Luis Mitrovic Balbontín,04-11-1974,1974.0,United States (1971–1985),#D4AC0D,"Brookline, Massachusetts, USA",42.3318,-71.1212,1974 · Franz J. Kranl → Luis Mitrovic Balbontín,2
S104,John G. Dijkstra,Luis Mitrovic Balbontín,21-07-1992,1992.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1992 · John G. Dijkstra → Luis Mitrovic Balbontín,64
