Envelope,Filename,Language,category,include_in_network,PER_count,PER_stanza,PER_propagated,LOC_count,ORG_count,total_entities
S122C,MITRO3-S122-CARTA-007 ,Spanish,personal_letter,yes,9,8,1,16,4,29
S194,MITRO3-S194-CARTA-002,Spanish,personal_letter,yes,4,4,0,2,1,7
S195,MITRO3-S195-CARTA-003,Spanish,personal_letter,yes,11,10,1,5,0,16
S196A,MITRO3-S196-CARTA-004,English,institutional_letter,yes,2,0,2,0,9,11
S196B,MITRO3-S196-CARTA-003,English,institutional_letter,yes,2,0,2,0,11,13
S197,MITRO3-S197-CARTA-003,English,personal_letter,yes,3,0,3,1,0,4
S198,MITRO3-S198-CARTA-003,English,personal_letter,yes,4,0,4,1,5,10
S199,MITRO3-S199-CARTA-003,English,personal_letter,yes,4,0,4,1,1,6
S200,MITRO3-S200-CARTA-003,English,personal_letter,yes,5,0,5,2,3,10
S202,MITRO3-S202-CARTA-001,English,personal_letter,yes,8,0,8,17,1,26
S25A,MITRO3-S25-DOC-009,English,non_epistolary_collected,yes,0,0,0,0,10,10
S25B,MITRO3-S25-DOC-011,English,professional_letter,yes,3,0,3,1,5,9
S27,MITRO3-S27-DOC-001,Spanish,personal_letter,yes,40,38,2,16,12,68
S31,MITRO3-S31-CARTA-003,Spanish,institutional_letter,yes,11,9,2,11,8,30
S32,MITRO3-S32-DOC-001,English,non_epistolary_collected,yes,1,0,1,11,29,41
S40,MITRO3-S40-CARTA-001,Spanish,personal_letter,yes,22,20,2,18,4,44
S41,MITRO3-S41-CARTA-001,Spanish,personal_letter,yes,24,24,0,45,2,71
S43,MITRO3-S43-CARTA-003,German,personal_letter,yes,7,0,7,1,9,17
S44,MITRO3-S44-CARTA-002,Spanish,personal_letter,yes,9,8,1,6,0,15
S46A,MITRO3-S46-CARTA-002,German,institutional_letter,yes,2,0,2,0,4,6
S46B,MITRO3-S46-CARTA-003,German,institutional_letter,yes,2,0,2,0,0,2
S47,MITRO3-S47-CARTA-001,German,institutional_letter,yes,2,0,2,0,4,6
S50,MITRO3-S50-CARTA-001,Spanish,personal_letter,yes,21,21,0,6,3,30
S53,MITRO3-S53-CARTA-001,Spanish,personal_letter,yes,18,16,2,6,5,29
S55,MITRO3-S55-CARTA-003,Spanish,personal_letter,yes,9,8,1,6,3,18
S56,MITRO3-S56-CARTA-002,Spanish,personal_letter,yes,14,12,2,5,3,22
S58,MITRO3-S58-CARTA-002,Spanish,personal_letter,yes,2,2,0,1,0,3
S64A,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,2,2,0,4,0,6
S64B,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,3,3,0,6,2,11
S65,MITRO3-S65-CARTA-002,English,personal_letter,yes,0,0,0,1,1,2
S67,MITRO3-S67-CARTA-003,German,personal_letter,yes,9,0,9,3,8,20
