Envelope,Filename,Language,category,include_in_network,PER_count,PER_unique,LOC_count,LOC_unique,ORG_count,total_entities,total_unique
S122C,MITRO3-S122-CARTA-007 ,Spanish,personal_letter,yes,8,8,16,13,4,28,25
S194,MITRO3-S194-CARTA-002,Spanish,personal_letter,yes,4,4,2,2,1,7,7
S195,MITRO3-S195-CARTA-003,Spanish,personal_letter,yes,10,10,5,4,0,15,14
S196A,MITRO3-S196-CARTA-004,English,institutional_letter,yes,0,0,0,0,9,9,9
S196B,MITRO3-S196-CARTA-003,English,institutional_letter,yes,0,0,0,0,11,11,11
S197,MITRO3-S197-CARTA-003,English,personal_letter,yes,0,0,1,1,0,1,1
S198,MITRO3-S198-CARTA-003,English,personal_letter,yes,0,0,1,1,5,6,6
S199,MITRO3-S199-CARTA-003,English,personal_letter,yes,0,0,1,1,1,2,2
S200,MITRO3-S200-CARTA-003,English,personal_letter,yes,0,0,2,1,3,5,3
S202,MITRO3-S202-CARTA-001,English,personal_letter,yes,0,0,17,16,1,18,17
S25A,MITRO3-S25-DOC-009,English,non_epistolary_collected,yes,0,0,0,0,10,10,7
S25B,MITRO3-S25-DOC-011,English,professional_letter,yes,0,0,1,1,5,6,6
S27,MITRO3-S27-DOC-001,Spanish,personal_letter,yes,38,37,16,15,12,66,64
S31,MITRO3-S31-CARTA-003,Spanish,institutional_letter,yes,9,9,11,10,8,28,26
S32,MITRO3-S32-DOC-001,English,non_epistolary_collected,yes,0,0,11,6,29,40,25
S40,MITRO3-S40-CARTA-001,Spanish,personal_letter,yes,20,9,18,12,4,42,25
S41,MITRO3-S41-CARTA-001,Spanish,personal_letter,yes,24,12,45,26,2,71,40
S43,MITRO3-S43-CARTA-003,German,personal_letter,yes,0,0,1,1,9,10,9
S44,MITRO3-S44-CARTA-002,Spanish,personal_letter,yes,8,7,6,5,0,14,12
S46A,MITRO3-S46-CARTA-002,German,institutional_letter,yes,0,0,0,0,4,4,4
S46B,MITRO3-S46-CARTA-003,German,institutional_letter,yes,0,0,0,0,0,0,0
S47,MITRO3-S47-CARTA-001,German,institutional_letter,yes,0,0,0,0,4,4,4
S50,MITRO3-S50-CARTA-001,Spanish,personal_letter,yes,21,8,6,4,3,30,14
S53,MITRO3-S53-CARTA-001,Spanish,personal_letter,yes,16,12,6,6,5,27,22
S55,MITRO3-S55-CARTA-003,Spanish,personal_letter,yes,8,8,6,6,3,17,17
S56,MITRO3-S56-CARTA-002,Spanish,personal_letter,yes,12,10,5,5,3,20,17
S58,MITRO3-S58-CARTA-002,Spanish,personal_letter,yes,2,2,1,1,0,3,3
S64A,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,2,2,4,3,0,6,5
S64B,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,3,3,6,4,2,11,8
S65,MITRO3-S65-CARTA-002,English,personal_letter,yes,0,0,1,1,1,2,2
S67,MITRO3-S67-CARTA-003,German,personal_letter,yes,0,0,3,2,8,11,9
